Date(UTC),Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count,VelCur1yr,TxCnt,TxTfrCnt,TxTfrValMeanNtv,SplyAct1d,SplyAct7d,SplyAct30d,NVTAdj,NVTAdjFF,CapMVRVCur,CapMVRVFF
09/18/2015,0.85,0,0,0,0,1463,891,1349,55703151966,212949263,346.2296,21999,5802,403,0.7623424869,5802,5610,72.86577896,4925350.648,12054911.88,18250069.73,242.0230935,218.7263795,2.28456208,2.06465419
09/19/2015,0.89,0,0,0,0,1368,840,1270,51639660974,151038683,357.5566,22106,5205,490,0.7673916648,5205,5060,77.32075222,4602091.201,11869017.23,18179972.25,196.5446821,177.6326487,2.34796246,2.12203549
09/20/2015,0.94,0,0,0,0,1467,904,1368,52910345407,206446103,408.748,22230,6402,389,0.7688917597,6402,6272,20.98136028,4534753.242,11855551.98,14548097.05,683.3338222,617.6067529,2.47372585,2.23578834
09/21/2015,0.9,0,0,0,0,1522,988,1406,51171380285,190902398,409.9779,22363,6305,340,0.7707605295,6305,6190,25.48108852,4580091.612,11784904.62,14391667.48,633.7138096,572.781607,2.46892478,2.23153524
09/22/2015,0.9,0,0,0,0,1536,1001,1401,51465441496,211491983,410.0917,22496,6804,298,0.7731334043,6804,6725,28.94318273,4464448.373,11695844.79,14320393.12,455.8623541,412.0464768,2.15548222,1.94830489
09/23/2015,0.9,0,0,0,0,1738,969,1657,51732832046,198471252,438.8619,22648,7404,334,0.7746368757,7404,7276,18.06300529,4500839.986,5372172.328,14181996.74,808.2461559,730.5890203,2.39300012,2.16307816
09/24/2015,0.81,0,0,0,0,1570,1004,1474,54262646753,183782502,436.2345,22783,6224,341,0.7785455634,6224,6132,50.19422672,4494120.564,4936480.299,14109678.2,337.5667321,305.1446084,2.13476982,1.92973252
09/25/2015,0.74,0,0,0,0,1537,974,1436,52300197415,178617418,443.497,22902,5851,366,0.7872696552,5851,5711,116.0252962,4275642.805,4715354.099,13786383.85,147.4469037,133.2903355,1.84051674,1.66380634
09/26/2015,0.78,0,0,0,0,1421,890,1342,55315658061,160320021,440.6371,22964,5907,338,0.790440419,5907,5850,43.36213092,4296382.406,4662080.023,13783563.55,402.0122251,363.4281047,2.04735816,1.85085788
09/27/2015,0.72,0,0,0,0,1418,907,1335,51025979902,165754018,426.444,23045,5760,307,0.7953819079,5760,5695,67.32818245,4222018.765,4594896.842,13709481.39,253.925848,229.5629675,1.87468697,1.69482039
