Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count
1.04,0,0,0,0,1545,942,1443,61830202468,186314190,424.2721,21043,5596,339
0.94,0,0,0,0,1599,954,1482,52313524792,177583552,432.7014,21252,6057,353
0.87,0,0,0,0,1623,1013,1523,53772389657,171636301,399.6471,21409,5572,360
0.94,0,0,0,0,1487,906,1380,53191101494,148568242,387.7858,21581,5409,378
0.9,0,0,0,0,1511,920,1388,111518559318,146153300,383.9057,21719,5872,412
0.89,0,0,0,0,1518,982,1389,55637920883,147106346,362.1457,21826,5368,372
0.85,0,0,0,0,1463,891,1349,55703151966,212949263,346.2296,21999,5802,403
0.89,0,0,0,0,1368,840,1270,51639660974,151038683,357.5566,22106,5205,490
0.94,0,0,0,0,1467,904,1368,52910345407,206446103,408.748,22230,6402,389
0.9,0,0,0,0,1522,988,1406,51171380285,190902398,409.9779,22363,6305,340
0.9,0,0,0,0,1536,1001,1401,51465441496,211491983,410.0917,22496,6804,298
0.9,0,0,0,0,1738,969,1657,51732832046,198471252,438.8619,22648,7404,334
0.81,0,0,0,0,1570,1004,1474,54262646753,183782502,436.2345,22783,6224,341
0.74,0,0,0,0,1537,974,1436,52300197415,178617418,443.497,22902,5851,366
0.78,0,0,0,0,1421,890,1342,55315658061,160320021,440.6371,22964,5907,338
0.72,0,0,0,0,1418,907,1335,51025979902,165754018,426.444,23045,5760,307
0.59,0,0,0,0,1546,1003,1442,52683661382,171799357,391.4721,23160,6123,275
0.68,0,0,0,0,1533,962,1384,55437141860,155322802,347.3122,23283,5738,314
0.72,0,0,0,0,1491,924,1376,51461473059,161315703,332.8925,23385,5870,356
0.68,0,0,0,0,1474,947,1329,51474669294,167413168,365.2783,23482,6421,373
0.68,0,0,0,0,1376,857,1286,52567714347,175336965,378.4969,23563,6063,324
0.69,0,0,0,0,1390,890,1291,52502578427,176738025,390.9186,23689,6112,292
0.67,0,0,0,0,1394,872,1295,50733256095,175625589,371.1233,23777,6624,281
0.63,0,0,0,0,1410,871,1336,50742818443,217225401,385.5859,23909,6279,292
0.66,0,0,0,0,1416,907,1315,51375494165,185466056,368.4521,24005,6458,266
0.61,0,0,0,0,1374,881,1297,51181314265,227483136,366.9765,24102,7121,295
0.62,0,0,0,0,1331,865,1243,56971870131,206603046,375.1336,24168,6926,270
0.65,0,0,0,0,1367,868,1290,61962572208,180944156,364.9485,24243,6763,245
0.63,0,0,0,0,1267,793,1205,64893302980,174240457,360.6383,24303,6529,270
0.63,0,0,0,0,1301,840,1212,56318375319,154497993,381.8711,24359,6023,301
0.63,0,0,0,0,1336,832,1257,51359902694,200001725,386.3386,24473,6593,284
0.6,0,0,0,0,1476,846,1400,53219625156,223630692,397.9554,24675,6818,301
0.51,0,0,0,0,1567,956,1447,57976429615,193279995,394.1999,24906,6830,320
0.56,0,0,0,0,1497,876,1391,54823147993,347607211,372.9212,25142,6499,263
0.53,0,0,0,0,1367,882,1275,53404946237,400824348,347.0096,25248,6795,273
0.55,0,0,0,0,1356,867,1251,53619552703,230368185,373.0388,25356,6567,312
0.52,0,0,0,0,1346,818,1247,52006592112,249377360,362.4454,25489,6481,297
0.49,0,0,0,0,1453,842,1359,52456819761,216816740,360.9165,25729,6604,291
0.44,0,0,0,0,1315,837,1227,53767556518,191557542,359.4184,25828,5897,332
0.44,0,0,0,0,1522,873,1428,53588794315,180468852,358.9999,26090,6182,289
0.59,0,0,0,0,1390,849,1268,57253941421,237772273,341.149,26244,5979,305
0.52,0,0,0,0,1524,957,1404,51207267003,260401303,380.6258,26449,6888,331
0.57,0,0,0,0,1636,869,1555,50749518370,211420205,400.8051,26892,6361,336
0.65,0,0,0,0,1498,918,1393,51635339670,170100960,415.4128,27220,5830,351
0.74,0,0,0,0,1656,987,1568,54585998170,203310004,399.276,27534,5938,366
0.87,0,0,0,0,1707,1150,1545,53525777571,365376906,423.6995,27744,6784,376
1.01,0,0,0,0,1701,1167,1562,54787998286,202357247,425.0888,27918,7346,398
1.16,0,0,0,0,1975,1269,1812,52364630378,241667844,457.198,28188,7836,453
1.04,2,1,1,0,2220,1315,2093,54017718700,250649964,485.0091,28770,7941,409
0.89,0,0,0,0,1988,1222,1893,53753181787,296674561,512.5808,29166,7557,554
1.05,0,0,0,0,2132,1157,2042,50751088484,316473677,520.7818,29676,6915,625
0.96,2,1,1,0,2040,1332,1897,53162663704,193339829,494.4047,29973,6558,531
1,26,23,10,0,2067,1249,1957,51578536572,236076946,480.1956,30326,7399,573
0.87,18,14,4,0,2040,1241,1907,52243136362,180987375,508.4657,30608,7037,549
0.89,15,11,5,0,1915,1288,1768,52990311400,199792729,489.3514,30815,7498,473
0.92,0,0,0,0,1808,1241,1683,52184810513,309939683,491.3861,30968,7882,450
0.92,0,0,0,0,2068,1176,1978,51944373853,572275369,478.1613,31514,10996,550
1.02,4,2,2,0,2272,1188,2175,52414324288,563914716,498.873,32153,12413,570
1,30,28,4,0,2061,1342,1910,51918274052,211894015,496.5674,32455,7689,509
0.92,37,36,1,0,1827,1270,1725,52237284910,287969451,505.3881,32634,8151,574
